cohort_definition_id,age_group,sex,days_prior_history,start_date,end_date,strata_cohort_definition_id,strata_cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid19,2405,2243,1,Starting population,NA,NA
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid19,2405,2243,2,Missing year of birth,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid19,2405,2243,3,Missing sex,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid19,2405,2243,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid19,2385,2224,5,No observation time available during study period,20,19
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid19,2385,2224,6,Doesn't satisfy age criteria during the study period,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid19,1,1,7,Prior history requirement not fulfilled during study period,2384,2223
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid19,0,0,10,No observation time available after applying age and prior history criteria,1,1
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid19,2405,2243,1,Starting population,NA,NA
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid19,2405,2243,2,Missing year of birth,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid19,2405,2243,3,Missing sex,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid19,2405,2243,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid19,2385,2224,5,No observation time available during study period,20,19
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid19,2385,2224,6,Doesn't satisfy age criteria during the study period,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid19,1,1,7,Prior history requirement not fulfilled during study period,2384,2223
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid19,0,0,8,Not Female,1,1
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid19,0,0,10,No observation time available after applying age and prior history criteria,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid19,2405,2243,1,Starting population,NA,NA
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid19,2405,2243,2,Missing year of birth,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid19,2405,2243,3,Missing sex,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid19,2405,2243,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid19,2385,2224,5,No observation time available during study period,20,19
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid19,2385,2224,6,Doesn't satisfy age criteria during the study period,0,0
