cohort_definition_id,cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
1,Denominator cohort 1,889060,798662,1,Starting population,NA,NA
1,Denominator cohort 1,889060,798662,2,Missing year of birth,0,0
1,Denominator cohort 1,889051,798653,3,Missing sex,9,9
1,Denominator cohort 1,889051,798653,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
1,Denominator cohort 1,887233,796962,5,No observation time available during study period,1818,1691
1,Denominator cohort 1,887233,796962,6,Doesn't satisfy age criteria during the study period,0,0
1,Denominator cohort 1,650045,580266,7,Prior history requirement not fulfilled during study period,237188,216696
1,Denominator cohort 1,66813,63782,10,No observation time available after applying age and prior history criteria,583232,516484
2,Denominator cohort 2,889060,798662,1,Starting population,NA,NA
2,Denominator cohort 2,889060,798662,2,Missing year of birth,0,0
2,Denominator cohort 2,889051,798653,3,Missing sex,9,9
2,Denominator cohort 2,889051,798653,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
2,Denominator cohort 2,887233,796962,5,No observation time available during study period,1818,1691
2,Denominator cohort 2,887233,796962,6,Doesn't satisfy age criteria during the study period,0,0
2,Denominator cohort 2,650045,580266,7,Prior history requirement not fulfilled during study period,237188,216696
2,Denominator cohort 2,348544,309281,8,Not Female,301501,270985
2,Denominator cohort 2,33368,31870,10,No observation time available after applying age and prior history criteria,315176,277411
3,Denominator cohort 3,889060,798662,1,Starting population,NA,NA
3,Denominator cohort 3,889060,798662,2,Missing year of birth,0,0
3,Denominator cohort 3,889051,798653,3,Missing sex,9,9
3,Denominator cohort 3,889051,798653,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
3,Denominator cohort 3,887233,796962,5,No observation time available during study period,1818,1691
3,Denominator cohort 3,887233,796962,6,Doesn't satisfy age criteria during the study period,0,0
3,Denominator cohort 3,650045,580266,7,Prior history requirement not fulfilled during study period,237188,216696
3,Denominator cohort 3,301501,270985,8,Not Male,348544,309281
3,Denominator cohort 3,33445,31912,10,No observation time available after applying age and prior history criteria,268056,239073
4,Denominator cohort 4,889060,798662,1,Starting population,NA,NA
4,Denominator cohort 4,889060,798662,2,Missing year of birth,0,0
4,Denominator cohort 4,889051,798653,3,Missing sex,9,9
4,Denominator cohort 4,889051,798653,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
4,Denominator cohort 4,887233,796962,5,No observation time available during study period,1818,1691
4,Denominator cohort 4,887233,796962,6,Doesn't satisfy age criteria during the study period,0,0
4,Denominator cohort 4,650045,580266,7,Prior history requirement not fulfilled during study period,237188,216696
4,Denominator cohort 4,144190,135679,10,No observation time available after applying age and prior history criteria,505855,444587
5,Denominator cohort 5,889060,798662,1,Starting population,NA,NA
5,Denominator cohort 5,889060,798662,2,Missing year of birth,0,0
5,Denominator cohort 5,889051,798653,3,Missing sex,9,9
5,Denominator cohort 5,889051,798653,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
5,Denominator cohort 5,887233,796962,5,No observation time available during study period,1818,1691
5,Denominator cohort 5,887233,796962,6,Doesn't satisfy age criteria during the study period,0,0
5,Denominator cohort 5,650045,580266,7,Prior history requirement not fulfilled during study period,237188,216696
5,Denominator cohort 5,348544,309281,8,Not Female,301501,270985
5,Denominator cohort 5,78994,73939,10,No observation time available after applying age and prior history criteria,269550,235342
6,Denominator cohort 6,889060,798662,1,Starting population,NA,NA
6,Denominator cohort 6,889060,798662,2,Missing year of birth,0,0
6,Denominator cohort 6,889051,798653,3,Missing sex,9,9
6,Denominator cohort 6,889051,798653,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
6,Denominator cohort 6,887233,796962,5,No observation time available during study period,1818,1691
6,Denominator cohort 6,887233,796962,6,Doesn't satisfy age criteria during the study period,0,0
6,Denominator cohort 6,650045,580266,7,Prior history requirement not fulfilled during study period,237188,216696
6,Denominator cohort 6,301501,270985,8,Not Male,348544,309281
6,Denominator cohort 6,65196,61740,10,No observation time available after applying age and prior history criteria,236305,209245
7,Denominator cohort 7,889060,798662,1,Starting population,NA,NA
7,Denominator cohort 7,889060,798662,2,Missing year of birth,0,0
7,Denominator cohort 7,889051,798653,3,Missing sex,9,9
7,Denominator cohort 7,889051,798653,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
7,Denominator cohort 7,887233,796962,5,No observation time available during study period,1818,1691
7,Denominator cohort 7,887233,796962,6,Doesn't satisfy age criteria during the study period,0,0
7,Denominator cohort 7,650045,580266,7,Prior history requirement not fulfilled during study period,237188,216696
7,Denominator cohort 7,192660,175200,10,No observation time available after applying age and prior history criteria,457385,405066
8,Denominator cohort 8,889060,798662,1,Starting population,NA,NA
8,Denominator cohort 8,889060,798662,2,Missing year of birth,0,0
8,Denominator cohort 8,889051,798653,3,Missing sex,9,9
8,Denominator cohort 8,889051,798653,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
8,Denominator cohort 8,887233,796962,5,No observation time available during study period,1818,1691
8,Denominator cohort 8,887233,796962,6,Doesn't satisfy age criteria during the study period,0,0
8,Denominator cohort 8,650045,580266,7,Prior history requirement not fulfilled during study period,237188,216696
8,Denominator cohort 8,348544,309281,8,Not Female,301501,270985
8,Denominator cohort 8,102121,92392,10,No observation time available after applying age and prior history criteria,246423,216889
9,Denominator cohort 9,889060,798662,1,Starting population,NA,NA
9,Denominator cohort 9,889060,798662,2,Missing year of birth,0,0
