cohort_definition_id,cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
1,Denominator cohort 1,1516,1516,1,Starting population,NA,NA
1,Denominator cohort 1,1516,1516,2,Missing year of birth,0,0
1,Denominator cohort 1,1516,1516,3,Missing sex,0,0
1,Denominator cohort 1,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
1,Denominator cohort 1,1005,1005,5,No observation time available during study period,511,511
1,Denominator cohort 1,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
1,Denominator cohort 1,942,942,7,Prior history requirement not fulfilled during study period,63,63
1,Denominator cohort 1,94,94,10,No observation time available after applying age and prior history criteria,848,848
2,Denominator cohort 2,1516,1516,1,Starting population,NA,NA
2,Denominator cohort 2,1516,1516,2,Missing year of birth,0,0
2,Denominator cohort 2,1516,1516,3,Missing sex,0,0
2,Denominator cohort 2,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
2,Denominator cohort 2,1005,1005,5,No observation time available during study period,511,511
2,Denominator cohort 2,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
2,Denominator cohort 2,942,942,7,Prior history requirement not fulfilled during study period,63,63
2,Denominator cohort 2,484,484,8,Not Female,458,458
2,Denominator cohort 2,53,53,10,No observation time available after applying age and prior history criteria,431,431
3,Denominator cohort 3,1516,1516,1,Starting population,NA,NA
3,Denominator cohort 3,1516,1516,2,Missing year of birth,0,0
3,Denominator cohort 3,1516,1516,3,Missing sex,0,0
3,Denominator cohort 3,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
3,Denominator cohort 3,1005,1005,5,No observation time available during study period,511,511
3,Denominator cohort 3,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
3,Denominator cohort 3,942,942,7,Prior history requirement not fulfilled during study period,63,63
3,Denominator cohort 3,458,458,8,Not Male,484,484
3,Denominator cohort 3,41,41,10,No observation time available after applying age and prior history criteria,417,417
4,Denominator cohort 4,1516,1516,1,Starting population,NA,NA
4,Denominator cohort 4,1516,1516,2,Missing year of birth,0,0
4,Denominator cohort 4,1516,1516,3,Missing sex,0,0
4,Denominator cohort 4,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
4,Denominator cohort 4,1005,1005,5,No observation time available during study period,511,511
4,Denominator cohort 4,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
4,Denominator cohort 4,942,942,7,Prior history requirement not fulfilled during study period,63,63
4,Denominator cohort 4,249,249,10,No observation time available after applying age and prior history criteria,693,693
5,Denominator cohort 5,1516,1516,1,Starting population,NA,NA
5,Denominator cohort 5,1516,1516,2,Missing year of birth,0,0
5,Denominator cohort 5,1516,1516,3,Missing sex,0,0
5,Denominator cohort 5,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
5,Denominator cohort 5,1005,1005,5,No observation time available during study period,511,511
5,Denominator cohort 5,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
5,Denominator cohort 5,942,942,7,Prior history requirement not fulfilled during study period,63,63
5,Denominator cohort 5,484,484,8,Not Female,458,458
5,Denominator cohort 5,145,145,10,No observation time available after applying age and prior history criteria,339,339
6,Denominator cohort 6,1516,1516,1,Starting population,NA,NA
6,Denominator cohort 6,1516,1516,2,Missing year of birth,0,0
6,Denominator cohort 6,1516,1516,3,Missing sex,0,0
6,Denominator cohort 6,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
6,Denominator cohort 6,1005,1005,5,No observation time available during study period,511,511
6,Denominator cohort 6,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
6,Denominator cohort 6,942,942,7,Prior history requirement not fulfilled during study period,63,63
6,Denominator cohort 6,458,458,8,Not Male,484,484
6,Denominator cohort 6,104,104,10,No observation time available after applying age and prior history criteria,354,354
7,Denominator cohort 7,1516,1516,1,Starting population,NA,NA
7,Denominator cohort 7,1516,1516,2,Missing year of birth,0,0
7,Denominator cohort 7,1516,1516,3,Missing sex,0,0
7,Denominator cohort 7,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
7,Denominator cohort 7,1005,1005,5,No observation time available during study period,511,511
7,Denominator cohort 7,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
7,Denominator cohort 7,942,942,7,Prior history requirement not fulfilled during study period,63,63
7,Denominator cohort 7,276,276,10,No observation time available after applying age and prior history criteria,666,666
8,Denominator cohort 8,1516,1516,1,Starting population,NA,NA
8,Denominator cohort 8,1516,1516,2,Missing year of birth,0,0
8,Denominator cohort 8,1516,1516,3,Missing sex,0,0
8,Denominator cohort 8,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
8,Denominator cohort 8,1005,1005,5,No observation time available during study period,511,511
8,Denominator cohort 8,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
8,Denominator cohort 8,942,942,7,Prior history requirement not fulfilled during study period,63,63
8,Denominator cohort 8,484,484,8,Not Female,458,458
8,Denominator cohort 8,122,122,10,No observation time available after applying age and prior history criteria,362,362
9,Denominator cohort 9,1516,1516,1,Starting population,NA,NA
9,Denominator cohort 9,1516,1516,2,Missing year of birth,0,0
9,Denominator cohort 9,1516,1516,3,Missing sex,0,0
9,Denominator cohort 9,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
9,Denominator cohort 9,1005,1005,5,No observation time available during study period,511,511
9,Denominator cohort 9,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
9,Denominator cohort 9,942,942,7,Prior history requirement not fulfilled during study period,63,63
9,Denominator cohort 9,458,458,8,Not Male,484,484
9,Denominator cohort 9,154,154,10,No observation time available after applying age and prior history criteria,304,304
10,Denominator cohort 10,1516,1516,1,Starting population,NA,NA
10,Denominator cohort 10,1516,1516,2,Missing year of birth,0,0
10,Denominator cohort 10,1516,1516,3,Missing sex,0,0
10,Denominator cohort 10,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
10,Denominator cohort 10,1005,1005,5,No observation time available during study period,511,511
10,Denominator cohort 10,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
10,Denominator cohort 10,942,942,7,Prior history requirement not fulfilled during study period,63,63
10,Denominator cohort 10,278,278,10,No observation time available after applying age and prior history criteria,664,664
11,Denominator cohort 11,1516,1516,1,Starting population,NA,NA
11,Denominator cohort 11,1516,1516,2,Missing year of birth,0,0
11,Denominator cohort 11,1516,1516,3,Missing sex,0,0
11,Denominator cohort 11,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
11,Denominator cohort 11,1005,1005,5,No observation time available during study period,511,511
11,Denominator cohort 11,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
11,Denominator cohort 11,942,942,7,Prior history requirement not fulfilled during study period,63,63
11,Denominator cohort 11,484,484,8,Not Female,458,458
11,Denominator cohort 11,133,133,10,No observation time available after applying age and prior history criteria,351,351
12,Denominator cohort 12,1516,1516,1,Starting population,NA,NA
12,Denominator cohort 12,1516,1516,2,Missing year of birth,0,0
12,Denominator cohort 12,1516,1516,3,Missing sex,0,0
12,Denominator cohort 12,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
12,Denominator cohort 12,1005,1005,5,No observation time available during study period,511,511
12,Denominator cohort 12,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
12,Denominator cohort 12,942,942,7,Prior history requirement not fulfilled during study period,63,63
12,Denominator cohort 12,458,458,8,Not Male,484,484
12,Denominator cohort 12,145,145,10,No observation time available after applying age and prior history criteria,313,313
13,Denominator cohort 13,1516,1516,1,Starting population,NA,NA
13,Denominator cohort 13,1516,1516,2,Missing year of birth,0,0
13,Denominator cohort 13,1516,1516,3,Missing sex,0,0
13,Denominator cohort 13,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
13,Denominator cohort 13,1005,1005,5,No observation time available during study period,511,511
13,Denominator cohort 13,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
13,Denominator cohort 13,942,942,7,Prior history requirement not fulfilled during study period,63,63
13,Denominator cohort 13,112,112,10,No observation time available after applying age and prior history criteria,830,830
14,Denominator cohort 14,1516,1516,1,Starting population,NA,NA
14,Denominator cohort 14,1516,1516,2,Missing year of birth,0,0
14,Denominator cohort 14,1516,1516,3,Missing sex,0,0
14,Denominator cohort 14,1516,1516,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
14,Denominator cohort 14,1005,1005,5,No observation time available during study period,511,511
14,Denominator cohort 14,1005,1005,6,Doesn't satisfy age criteria during the study period,0,0
14,Denominator cohort 14,942,942,7,Prior history requirement not fulfilled during study period,63,63
14,Denominator cohort 14,484,484,8,Not Female,458,458
14,Denominator cohort 14,65,65,10,No observation time available after applying age and prior history criteria,419,419
15,Denominator cohort 15,1516,1516,1,Starting population,NA,NA
15,Denominator cohort 15,1516,1516,2,Missing year of birth,0,0
15,Denominator cohort 15,1516,1516,3,Missing sex,0,0
