cohort_definition_id,cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
1,Denominator cohort 1,222159,222159,1,Starting population,NA,NA
1,Denominator cohort 1,222159,222159,2,Missing year of birth,0,0
1,Denominator cohort 1,222159,222159,3,Missing sex,0,0
1,Denominator cohort 1,222159,222159,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
1,Denominator cohort 1,155794,155794,5,No observation time available during study period,66365,66365
1,Denominator cohort 1,155794,155794,6,Doesn't satisfy age criteria during the study period,0,0
1,Denominator cohort 1,135259,135259,7,Prior history requirement not fulfilled during study period,20535,20535
1,Denominator cohort 1,1523,1523,10,No observation time available after applying age and prior history criteria,133736,133736
2,Denominator cohort 2,222159,222159,1,Starting population,NA,NA
2,Denominator cohort 2,222159,222159,2,Missing year of birth,0,0
2,Denominator cohort 2,222159,222159,3,Missing sex,0,0
2,Denominator cohort 2,222159,222159,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
2,Denominator cohort 2,155794,155794,5,No observation time available during study period,66365,66365
2,Denominator cohort 2,155794,155794,6,Doesn't satisfy age criteria during the study period,0,0
2,Denominator cohort 2,135259,135259,7,Prior history requirement not fulfilled during study period,20535,20535
2,Denominator cohort 2,100067,100067,8,Not Female,35192,35192
2,Denominator cohort 2,1008,1008,10,No observation time available after applying age and prior history criteria,99059,99059
3,Denominator cohort 3,222159,222159,1,Starting population,NA,NA
3,Denominator cohort 3,222159,222159,2,Missing year of birth,0,0
3,Denominator cohort 3,222159,222159,3,Missing sex,0,0
3,Denominator cohort 3,222159,222159,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
3,Denominator cohort 3,155794,155794,5,No observation time available during study period,66365,66365
3,Denominator cohort 3,155794,155794,6,Doesn't satisfy age criteria during the study period,0,0
3,Denominator cohort 3,135259,135259,7,Prior history requirement not fulfilled during study period,20535,20535
3,Denominator cohort 3,35192,35192,8,Not Male,100067,100067
3,Denominator cohort 3,515,515,10,No observation time available after applying age and prior history criteria,34677,34677
4,Denominator cohort 4,222159,222159,1,Starting population,NA,NA
4,Denominator cohort 4,222159,222159,2,Missing year of birth,0,0
4,Denominator cohort 4,222159,222159,3,Missing sex,0,0
4,Denominator cohort 4,222159,222159,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
4,Denominator cohort 4,155794,155794,5,No observation time available during study period,66365,66365
4,Denominator cohort 4,155794,155794,6,Doesn't satisfy age criteria during the study period,0,0
4,Denominator cohort 4,135259,135259,7,Prior history requirement not fulfilled during study period,20535,20535
4,Denominator cohort 4,9476,9476,10,No observation time available after applying age and prior history criteria,125783,125783
5,Denominator cohort 5,222159,222159,1,Starting population,NA,NA
5,Denominator cohort 5,222159,222159,2,Missing year of birth,0,0
5,Denominator cohort 5,222159,222159,3,Missing sex,0,0
5,Denominator cohort 5,222159,222159,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
5,Denominator cohort 5,155794,155794,5,No observation time available during study period,66365,66365
5,Denominator cohort 5,155794,155794,6,Doesn't satisfy age criteria during the study period,0,0
5,Denominator cohort 5,135259,135259,7,Prior history requirement not fulfilled during study period,20535,20535
5,Denominator cohort 5,100067,100067,8,Not Female,35192,35192
5,Denominator cohort 5,7589,7589,10,No observation time available after applying age and prior history criteria,92478,92478
6,Denominator cohort 6,222159,222159,1,Starting population,NA,NA
6,Denominator cohort 6,222159,222159,2,Missing year of birth,0,0
6,Denominator cohort 6,222159,222159,3,Missing sex,0,0
6,Denominator cohort 6,222159,222159,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
6,Denominator cohort 6,155794,155794,5,No observation time available during study period,66365,66365
6,Denominator cohort 6,155794,155794,6,Doesn't satisfy age criteria during the study period,0,0
6,Denominator cohort 6,135259,135259,7,Prior history requirement not fulfilled during study period,20535,20535
6,Denominator cohort 6,35192,35192,8,Not Male,100067,100067
6,Denominator cohort 6,1887,1887,10,No observation time available after applying age and prior history criteria,33305,33305
7,Denominator cohort 7,222159,222159,1,Starting population,NA,NA
7,Denominator cohort 7,222159,222159,2,Missing year of birth,0,0
7,Denominator cohort 7,222159,222159,3,Missing sex,0,0
7,Denominator cohort 7,222159,222159,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
7,Denominator cohort 7,155794,155794,5,No observation time available during study period,66365,66365
7,Denominator cohort 7,155794,155794,6,Doesn't satisfy age criteria during the study period,0,0
7,Denominator cohort 7,135259,135259,7,Prior history requirement not fulfilled during study period,20535,20535
7,Denominator cohort 7,38929,38929,10,No observation time available after applying age and prior history criteria,96330,96330
8,Denominator cohort 8,222159,222159,1,Starting population,NA,NA
8,Denominator cohort 8,222159,222159,2,Missing year of birth,0,0
8,Denominator cohort 8,222159,222159,3,Missing sex,0,0
8,Denominator cohort 8,222159,222159,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
8,Denominator cohort 8,155794,155794,5,No observation time available during study period,66365,66365
8,Denominator cohort 8,155794,155794,6,Doesn't satisfy age criteria during the study period,0,0
8,Denominator cohort 8,135259,135259,7,Prior history requirement not fulfilled during study period,20535,20535
8,Denominator cohort 8,100067,100067,8,Not Female,35192,35192
8,Denominator cohort 8,29862,29862,10,No observation time available after applying age and prior history criteria,70205,70205
9,Denominator cohort 9,222159,222159,1,Starting population,NA,NA
9,Denominator cohort 9,222159,222159,2,Missing year of birth,0,0
9,Denominator cohort 9,222159,222159,3,Missing sex,0,0
9,Denominator cohort 9,222159,222159,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
9,Denominator cohort 9,155794,155794,5,No observation time available during study period,66365,66365
9,Denominator cohort 9,155794,155794,6,Doesn't satisfy age criteria during the study period,0,0
9,Denominator cohort 9,135259,135259,7,Prior history requirement not fulfilled during study period,20535,20535
9,Denominator cohort 9,35192,35192,8,Not Male,100067,100067
9,Denominator cohort 9,9067,9067,10,No observation time available after applying age and prior history criteria,26125,26125
