cohort_definition_id,cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
1,Denominator cohort 1,237765,237765,1,Starting population,NA,NA
1,Denominator cohort 1,237765,237765,2,Missing year of birth,0,0
1,Denominator cohort 1,237765,237765,3,Missing sex,0,0
1,Denominator cohort 1,237765,237765,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
1,Denominator cohort 1,171378,171378,5,No observation time available during study period,66387,66387
1,Denominator cohort 1,171378,171378,6,Doesn't satisfy age criteria during the study period,0,0
1,Denominator cohort 1,149637,149637,7,Prior history requirement not fulfilled during study period,21741,21741
1,Denominator cohort 1,1587,1587,10,No observation time available after applying age and prior history criteria,148050,148050
2,Denominator cohort 2,237765,237765,1,Starting population,NA,NA
2,Denominator cohort 2,237765,237765,2,Missing year of birth,0,0
2,Denominator cohort 2,237765,237765,3,Missing sex,0,0
2,Denominator cohort 2,237765,237765,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
2,Denominator cohort 2,171378,171378,5,No observation time available during study period,66387,66387
2,Denominator cohort 2,171378,171378,6,Doesn't satisfy age criteria during the study period,0,0
2,Denominator cohort 2,149637,149637,7,Prior history requirement not fulfilled during study period,21741,21741
2,Denominator cohort 2,110684,110684,8,Not Female,38953,38953
2,Denominator cohort 2,1051,1051,10,No observation time available after applying age and prior history criteria,109633,109633
3,Denominator cohort 3,237765,237765,1,Starting population,NA,NA
3,Denominator cohort 3,237765,237765,2,Missing year of birth,0,0
3,Denominator cohort 3,237765,237765,3,Missing sex,0,0
3,Denominator cohort 3,237765,237765,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
3,Denominator cohort 3,171378,171378,5,No observation time available during study period,66387,66387
3,Denominator cohort 3,171378,171378,6,Doesn't satisfy age criteria during the study period,0,0
3,Denominator cohort 3,149637,149637,7,Prior history requirement not fulfilled during study period,21741,21741
3,Denominator cohort 3,38953,38953,8,Not Male,110684,110684
3,Denominator cohort 3,536,536,10,No observation time available after applying age and prior history criteria,38417,38417
4,Denominator cohort 4,237765,237765,1,Starting population,NA,NA
4,Denominator cohort 4,237765,237765,2,Missing year of birth,0,0
4,Denominator cohort 4,237765,237765,3,Missing sex,0,0
4,Denominator cohort 4,237765,237765,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
4,Denominator cohort 4,171378,171378,5,No observation time available during study period,66387,66387
4,Denominator cohort 4,171378,171378,6,Doesn't satisfy age criteria during the study period,0,0
4,Denominator cohort 4,149637,149637,7,Prior history requirement not fulfilled during study period,21741,21741
4,Denominator cohort 4,10275,10275,10,No observation time available after applying age and prior history criteria,139362,139362
5,Denominator cohort 5,237765,237765,1,Starting population,NA,NA
5,Denominator cohort 5,237765,237765,2,Missing year of birth,0,0
5,Denominator cohort 5,237765,237765,3,Missing sex,0,0
5,Denominator cohort 5,237765,237765,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
5,Denominator cohort 5,171378,171378,5,No observation time available during study period,66387,66387
5,Denominator cohort 5,171378,171378,6,Doesn't satisfy age criteria during the study period,0,0
5,Denominator cohort 5,149637,149637,7,Prior history requirement not fulfilled during study period,21741,21741
5,Denominator cohort 5,110684,110684,8,Not Female,38953,38953
5,Denominator cohort 5,8246,8246,10,No observation time available after applying age and prior history criteria,102438,102438
6,Denominator cohort 6,237765,237765,1,Starting population,NA,NA
6,Denominator cohort 6,237765,237765,2,Missing year of birth,0,0
6,Denominator cohort 6,237765,237765,3,Missing sex,0,0
6,Denominator cohort 6,237765,237765,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
6,Denominator cohort 6,171378,171378,5,No observation time available during study period,66387,66387
6,Denominator cohort 6,171378,171378,6,Doesn't satisfy age criteria during the study period,0,0
6,Denominator cohort 6,149637,149637,7,Prior history requirement not fulfilled during study period,21741,21741
6,Denominator cohort 6,38953,38953,8,Not Male,110684,110684
6,Denominator cohort 6,2029,2029,10,No observation time available after applying age and prior history criteria,36924,36924
7,Denominator cohort 7,237765,237765,1,Starting population,NA,NA
7,Denominator cohort 7,237765,237765,2,Missing year of birth,0,0
