cohort_definition_id,cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
1,Denominator cohort 1,221,221,1,Starting population,NA,NA
1,Denominator cohort 1,221,221,2,Missing year of birth,0,0
1,Denominator cohort 1,221,221,3,Missing sex,0,0
1,Denominator cohort 1,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
1,Denominator cohort 1,147,147,5,No observation time available during study period,74,74
1,Denominator cohort 1,147,147,6,Doesn't satisfy age criteria during the study period,0,0
1,Denominator cohort 1,118,118,7,Prior history requirement not fulfilled during study period,29,29
1,Denominator cohort 1,0,0,10,No observation time available after applying age and prior history criteria,118,118
2,Denominator cohort 2,221,221,1,Starting population,NA,NA
2,Denominator cohort 2,221,221,2,Missing year of birth,0,0
2,Denominator cohort 2,221,221,3,Missing sex,0,0
2,Denominator cohort 2,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
2,Denominator cohort 2,147,147,5,No observation time available during study period,74,74
2,Denominator cohort 2,147,147,6,Doesn't satisfy age criteria during the study period,0,0
2,Denominator cohort 2,118,118,7,Prior history requirement not fulfilled during study period,29,29
2,Denominator cohort 2,107,107,8,Not Female,11,11
2,Denominator cohort 2,0,0,10,No observation time available after applying age and prior history criteria,107,107
3,Denominator cohort 3,221,221,1,Starting population,NA,NA
3,Denominator cohort 3,221,221,2,Missing year of birth,0,0
3,Denominator cohort 3,221,221,3,Missing sex,0,0
3,Denominator cohort 3,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
3,Denominator cohort 3,147,147,5,No observation time available during study period,74,74
3,Denominator cohort 3,147,147,6,Doesn't satisfy age criteria during the study period,0,0
3,Denominator cohort 3,118,118,7,Prior history requirement not fulfilled during study period,29,29
3,Denominator cohort 3,11,11,8,Not Male,107,107
3,Denominator cohort 3,0,0,10,No observation time available after applying age and prior history criteria,11,11
4,Denominator cohort 4,221,221,1,Starting population,NA,NA
4,Denominator cohort 4,221,221,2,Missing year of birth,0,0
4,Denominator cohort 4,221,221,3,Missing sex,0,0
4,Denominator cohort 4,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
4,Denominator cohort 4,147,147,5,No observation time available during study period,74,74
4,Denominator cohort 4,147,147,6,Doesn't satisfy age criteria during the study period,0,0
4,Denominator cohort 4,118,118,7,Prior history requirement not fulfilled during study period,29,29
4,Denominator cohort 4,19,19,10,No observation time available after applying age and prior history criteria,99,99
5,Denominator cohort 5,221,221,1,Starting population,NA,NA
5,Denominator cohort 5,221,221,2,Missing year of birth,0,0
5,Denominator cohort 5,221,221,3,Missing sex,0,0
5,Denominator cohort 5,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
5,Denominator cohort 5,147,147,5,No observation time available during study period,74,74
5,Denominator cohort 5,147,147,6,Doesn't satisfy age criteria during the study period,0,0
5,Denominator cohort 5,118,118,7,Prior history requirement not fulfilled during study period,29,29
5,Denominator cohort 5,107,107,8,Not Female,11,11
5,Denominator cohort 5,19,19,10,No observation time available after applying age and prior history criteria,88,88
6,Denominator cohort 6,221,221,1,Starting population,NA,NA
6,Denominator cohort 6,221,221,2,Missing year of birth,0,0
6,Denominator cohort 6,221,221,3,Missing sex,0,0
6,Denominator cohort 6,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
6,Denominator cohort 6,147,147,5,No observation time available during study period,74,74
6,Denominator cohort 6,147,147,6,Doesn't satisfy age criteria during the study period,0,0
6,Denominator cohort 6,118,118,7,Prior history requirement not fulfilled during study period,29,29
6,Denominator cohort 6,11,11,8,Not Male,107,107
6,Denominator cohort 6,0,0,10,No observation time available after applying age and prior history criteria,11,11
7,Denominator cohort 7,221,221,1,Starting population,NA,NA
7,Denominator cohort 7,221,221,2,Missing year of birth,0,0
7,Denominator cohort 7,221,221,3,Missing sex,0,0
7,Denominator cohort 7,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
7,Denominator cohort 7,147,147,5,No observation time available during study period,74,74
7,Denominator cohort 7,147,147,6,Doesn't satisfy age criteria during the study period,0,0
7,Denominator cohort 7,118,118,7,Prior history requirement not fulfilled during study period,29,29
7,Denominator cohort 7,56,56,10,No observation time available after applying age and prior history criteria,62,62
8,Denominator cohort 8,221,221,1,Starting population,NA,NA
8,Denominator cohort 8,221,221,2,Missing year of birth,0,0
8,Denominator cohort 8,221,221,3,Missing sex,0,0
8,Denominator cohort 8,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
8,Denominator cohort 8,147,147,5,No observation time available during study period,74,74
8,Denominator cohort 8,147,147,6,Doesn't satisfy age criteria during the study period,0,0
8,Denominator cohort 8,118,118,7,Prior history requirement not fulfilled during study period,29,29
8,Denominator cohort 8,107,107,8,Not Female,11,11
8,Denominator cohort 8,50,50,10,No observation time available after applying age and prior history criteria,57,57
9,Denominator cohort 9,221,221,1,Starting population,NA,NA
9,Denominator cohort 9,221,221,2,Missing year of birth,0,0
9,Denominator cohort 9,221,221,3,Missing sex,0,0
9,Denominator cohort 9,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
9,Denominator cohort 9,147,147,5,No observation time available during study period,74,74
9,Denominator cohort 9,147,147,6,Doesn't satisfy age criteria during the study period,0,0
9,Denominator cohort 9,118,118,7,Prior history requirement not fulfilled during study period,29,29
9,Denominator cohort 9,11,11,8,Not Male,107,107
9,Denominator cohort 9,6,6,10,No observation time available after applying age and prior history criteria,5,5
10,Denominator cohort 10,221,221,1,Starting population,NA,NA
10,Denominator cohort 10,221,221,2,Missing year of birth,0,0
10,Denominator cohort 10,221,221,3,Missing sex,0,0
10,Denominator cohort 10,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
10,Denominator cohort 10,147,147,5,No observation time available during study period,74,74
10,Denominator cohort 10,147,147,6,Doesn't satisfy age criteria during the study period,0,0
10,Denominator cohort 10,118,118,7,Prior history requirement not fulfilled during study period,29,29
10,Denominator cohort 10,45,45,10,No observation time available after applying age and prior history criteria,73,73
11,Denominator cohort 11,221,221,1,Starting population,NA,NA
11,Denominator cohort 11,221,221,2,Missing year of birth,0,0
