cohort_definition_id,age_group,sex,days_prior_history,start_date,end_date,strata_cohort_definition_id,strata_cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
1,0;19,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
1,0;19,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
1,0;19,Both,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
1,0;19,Both,365,2019-01-01,2022-06-01,2,malaria,4234,4234,10,No observation time available after applying age and prior history criteria,21384,21384
2,0;19,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
2,0;19,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
2,0;19,Female,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
2,0;19,Female,365,2019-01-01,2022-06-01,2,malaria,13952,13952,8,Not Female,11666,11666
2,0;19,Female,365,2019-01-01,2022-06-01,2,malaria,2138,2138,10,No observation time available after applying age and prior history criteria,11814,11814
3,0;19,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
