cohort_definition_id,age_group,sex,days_prior_history,start_date,end_date,strata_cohort_definition_id,strata_cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
1,0;19,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,1,Starting population,NA,NA
1,0;19,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,2,Missing year of birth,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,3,Missing sex,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,5,No observation time available during study period,208,208
1,0;19,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,6,Doesn't satisfy age criteria during the study period,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,376,376,7,Prior history requirement not fulfilled during study period,123,123
1,0;19,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,2,2,10,No observation time available after applying age and prior history criteria,374,374
2,0;19,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,1,Starting population,NA,NA
2,0;19,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,2,Missing year of birth,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,3,Missing sex,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,5,No observation time available during study period,208,208
2,0;19,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,6,Doesn't satisfy age criteria during the study period,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,376,376,7,Prior history requirement not fulfilled during study period,123,123
2,0;19,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,275,275,8,Not Female,101,101
2,0;19,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,2,2,10,No observation time available after applying age and prior history criteria,273,273
3,0;19,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,1,Starting population,NA,NA
3,0;19,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,2,Missing year of birth,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,3,Missing sex,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,5,No observation time available during study period,208,208
3,0;19,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,6,Doesn't satisfy age criteria during the study period,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,376,376,7,Prior history requirement not fulfilled during study period,123,123
3,0;19,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,101,101,8,Not Male,275,275
3,0;19,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,0,0,10,No observation time available after applying age and prior history criteria,101,101
4,20;39,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,1,Starting population,NA,NA
4,20;39,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,2,Missing year of birth,0,0
4,20;39,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,3,Missing sex,0,0
4,20;39,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
4,20;39,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,5,No observation time available during study period,208,208
4,20;39,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,6,Doesn't satisfy age criteria during the study period,0,0
4,20;39,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,376,376,7,Prior history requirement not fulfilled during study period,123,123
4,20;39,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,20,20,10,No observation time available after applying age and prior history criteria,356,356
5,20;39,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,1,Starting population,NA,NA
5,20;39,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,2,Missing year of birth,0,0
5,20;39,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,3,Missing sex,0,0
5,20;39,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
5,20;39,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,5,No observation time available during study period,208,208
5,20;39,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,6,Doesn't satisfy age criteria during the study period,0,0
5,20;39,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,376,376,7,Prior history requirement not fulfilled during study period,123,123
5,20;39,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,275,275,8,Not Female,101,101
5,20;39,Female,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,16,16,10,No observation time available after applying age and prior history criteria,259,259
6,20;39,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,1,Starting population,NA,NA
6,20;39,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,2,Missing year of birth,0,0
6,20;39,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,3,Missing sex,0,0
6,20;39,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
6,20;39,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,5,No observation time available during study period,208,208
6,20;39,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,6,Doesn't satisfy age criteria during the study period,0,0
6,20;39,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,376,376,7,Prior history requirement not fulfilled during study period,123,123
6,20;39,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,101,101,8,Not Male,275,275
6,20;39,Male,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,4,4,10,No observation time available after applying age and prior history criteria,97,97
7,40;59,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,1,Starting population,NA,NA
7,40;59,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,2,Missing year of birth,0,0
7,40;59,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,3,Missing sex,0,0
7,40;59,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,707,707,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
7,40;59,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,5,No observation time available during study period,208,208
7,40;59,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,499,499,6,Doesn't satisfy age criteria during the study period,0,0
7,40;59,Both,365,2019-01-01,2022-06-01,3,rheumatoid_arthritis,376,376,7,Prior history requirement not fulfilled during study period,123,123
