group_name,group_level,strata_name,strata_level,variable,variable_level,variable_type,estimate_type,estimate,cdm_name,generated_by
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,number subjects,NA,NA,count,22836,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,number records,NA,NA,count,22836,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_0_covid,NA,binary,count,1110,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_0_covid,NA,binary,%,4.86074619022596,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_0_malaria,NA,binary,count,1,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_0_malaria,NA,binary,%,0.00437905062182519,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_0_none,NA,binary,count,21167,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_0_none,NA,binary,%,92.6913645121738,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_0_rheumatoid_arthristis_no_covid,NA,binary,count,479,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_0_rheumatoid_arthristis_no_covid,NA,binary,%,2.09756524785427,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_0_rheumatoid_arthritis,NA,binary,count,559,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_0_rheumatoid_arthritis,NA,binary,%,2.44788929760028,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_30_covid,NA,binary,count,2110,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_30_covid,NA,binary,%,9.23979681205115,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_30_malaria,NA,binary,count,1,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_30_malaria,NA,binary,%,0.00437905062182519,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_30_none,NA,binary,count,19800,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
