analysis_id,prevalence_start_date,prevalence_end_date,n_cases,n_population,prevalence,prevalence_95CI_lower,prevalence_95CI_upper,cohort_obscured,result_obscured,outcome_cohort_id,outcome_cohort_name,analysis_outcome_lookback_days,analysis_type,analysis_interval,analysis_complete_database_intervals,analysis_time_point,analysis_full_contribution,analysis_min_cell_count,denominator_cohort_id,denominator_cohort_name,denominator_age_group,denominator_sex,denominator_days_prior_history,denominator_start_date,denominator_end_date,denominator_strata_cohort_definition_id,denominator_strata_cohort_name,denominator_closed_cohort,cdm_name
1,2019-01-01,2019-01-31,NA,4283,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2019-02-01,2019-02-28,NA,4343,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2019-03-01,2019-03-31,NA,4347,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2019-04-01,2019-04-30,NA,4134,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2019-05-01,2019-05-31,NA,4152,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2019-06-01,2019-06-30,NA,3793,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2019-07-01,2019-07-31,NA,3746,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2019-08-01,2019-08-31,NA,3780,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2019-09-01,2019-09-30,NA,3800,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2019-10-01,2019-10-31,NA,3767,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2019-11-01,2019-11-30,NA,3775,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2019-12-01,2019-12-31,NA,3786,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2020-01-01,2020-01-31,NA,3538,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2020-02-01,2020-02-29,NA,3603,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2020-03-01,2020-03-31,NA,3604,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2020-04-01,2020-04-30,NA,3590,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2020-05-01,2020-05-31,NA,2800,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2020-06-01,2020-06-30,NA,2837,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2020-07-01,2020-07-31,NA,2865,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2020-08-01,2020-08-31,NA,2711,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2020-09-01,2020-09-30,NA,2726,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2020-10-01,2020-10-31,NA,2735,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2020-11-01,2020-11-30,NA,2753,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2020-12-01,2020-12-31,NA,3053,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2021-01-01,2021-01-31,NA,2658,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2021-02-01,2021-02-28,NA,2610,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2021-03-01,2021-03-31,NA,2621,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2021-04-01,2021-04-30,NA,2634,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2021-05-01,2021-05-31,NA,2638,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
1,2021-06-01,2021-06-30,NA,2652,NA,NA,NA,FALSE,TRUE,1,users_hydroxychloroquine,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2019-01-01,2022-06-01,NA,general,FALSE,PHARMETRICS
