analysis_id,prevalence_start_date,prevalence_end_date,n_cases,n_population,prevalence,prevalence_95CI_lower,prevalence_95CI_upper,cohort_obscured,result_obscured,outcome_cohort_id,outcome_cohort_name,analysis_outcome_lookback_days,analysis_type,analysis_interval,analysis_complete_database_intervals,analysis_time_point,analysis_full_contribution,analysis_min_cell_count,denominator_cohort_id,denominator_cohort_name,denominator_age_group,denominator_sex,denominator_days_prior_history,denominator_start_date,denominator_end_date,denominator_strata_cohort_definition_id,denominator_strata_cohort_name,cdm_name
1,2019-01-01,2019-01-31,NA,4187,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2019-02-01,2019-02-28,NA,4204,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2019-03-01,2019-03-31,NA,4210,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2019-04-01,2019-04-30,NA,3980,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2019-05-01,2019-05-31,NA,3976,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2019-06-01,2019-06-30,NA,3602,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2019-07-01,2019-07-31,NA,3550,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2019-08-01,2019-08-31,NA,3566,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2019-09-01,2019-09-30,NA,3573,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2019-10-01,2019-10-31,NA,3571,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2019-11-01,2019-11-30,NA,3579,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2019-12-01,2019-12-31,NA,3598,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2020-01-01,2020-01-31,NA,3355,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2020-02-01,2020-02-29,NA,3421,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2020-03-01,2020-03-31,NA,3447,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2020-04-01,2020-04-30,NA,3442,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
1,2020-05-01,2020-05-31,NA,2687,NA,NA,NA,FALSE,TRUE,1,Ingredient: hydroxychloroquine (1777087),0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0;19,Both,365,2019-01-01,2022-06-01,NA,general,PHARMETRICS
