cohort_definition_id,age_group,sex,days_prior_history,start_date,end_date,strata_cohort_definition_id,strata_cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid,569298,569298,1,Starting population,NA,NA
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid,569298,569298,2,Missing year of birth,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid,569294,569294,3,Missing sex,4,4
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid,569294,569294,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid,569294,569294,5,No observation time available during study period,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid,569294,569294,6,Doesn't satisfy age criteria during the study period,0,0
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid,566009,566009,7,Prior history requirement not fulfilled during study period,3285,3285
1,0;19,Both,365,2019-01-01,2022-06-01,1,covid,62085,62085,10,No observation time available after applying age and prior history criteria,503924,503924
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid,569298,569298,1,Starting population,NA,NA
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid,569298,569298,2,Missing year of birth,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid,569294,569294,3,Missing sex,4,4
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid,569294,569294,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid,569294,569294,5,No observation time available during study period,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid,569294,569294,6,Doesn't satisfy age criteria during the study period,0,0
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid,566009,566009,7,Prior history requirement not fulfilled during study period,3285,3285
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid,301597,301597,8,Not Female,264412,264412
2,0;19,Female,365,2019-01-01,2022-06-01,1,covid,31005,31005,10,No observation time available after applying age and prior history criteria,270592,270592
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid,569298,569298,1,Starting population,NA,NA
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid,569298,569298,2,Missing year of birth,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid,569294,569294,3,Missing sex,4,4
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid,569294,569294,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid,569294,569294,5,No observation time available during study period,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid,569294,569294,6,Doesn't satisfy age criteria during the study period,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid,566009,566009,7,Prior history requirement not fulfilled during study period,3285,3285
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid,264412,264412,8,Not Male,301597,301597
3,0;19,Male,365,2019-01-01,2022-06-01,1,covid,31080,31080,10,No observation time available after applying age and prior history criteria,233332,233332
4,20;39,Both,365,2019-01-01,2022-06-01,1,covid,569298,569298,1,Starting population,NA,NA
4,20;39,Both,365,2019-01-01,2022-06-01,1,covid,569298,569298,2,Missing year of birth,0,0
4,20;39,Both,365,2019-01-01,2022-06-01,1,covid,569294,569294,3,Missing sex,4,4
4,20;39,Both,365,2019-01-01,2022-06-01,1,covid,569294,569294,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
4,20;39,Both,365,2019-01-01,2022-06-01,1,covid,569294,569294,5,No observation time available during study period,0,0
