group_name,group_level,strata_name,strata_level,variable,variable_level,variable_type,estimate_type,estimate,cdm_name
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,number subjects,NA,NA,count,15206,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,number records,NA,NA,count,15206,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,age,NA,numeric,median,59,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,age,NA,numeric,q25,47,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,age,NA,numeric,q75,69,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,future_observation,NA,numeric,median,274,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,future_observation,NA,numeric,q25,122,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,future_observation,NA,numeric,q75,436,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,prior_history,NA,numeric,median,1001,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,prior_history,NA,numeric,q25,560,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,prior_history,NA,numeric,q75,1486,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,cohort_end_date,NA,date,median,2021-11-01,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,cohort_end_date,NA,date,q25,2021-04-14,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,cohort_end_date,NA,date,q75,2022-04-04,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,cohort_start_date,NA,date,median,2021-05-06,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,cohort_start_date,NA,date,q25,2020-12-04,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,cohort_start_date,NA,date,q75,2021-10-22,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,agents_acting_on_renin_angiotensin_system_m365_to_0,NA,binary,count,4376,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,agents_acting_on_renin_angiotensin_system_m365_to_0,NA,binary,%,28.7781139024069,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,antibacterials_systemic_m365_to_0,NA,binary,count,7591,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,antibacterials_systemic_m365_to_0,NA,binary,%,49.9210837827173,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,antidepressants_m365_to_0,NA,binary,count,5314,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,antidepressants_m365_to_0,NA,binary,%,34.9467315533342,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,antiepileptics_m365_to_0,NA,binary,count,3392,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,antiepileptics_m365_to_0,NA,binary,%,22.3069840852295,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,antiinflammatory_antirheumatic_agents_m365_to_0,NA,binary,count,11095,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,antiinflammatory_antirheumatic_agents_m365_to_0,NA,binary,%,72.9646192292516,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,antineoplastic_agents_m365_to_0,NA,binary,count,15206,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,antineoplastic_agents_m365_to_0,NA,binary,%,100,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,antithrombotics_m365_to_0,NA,binary,count,2075,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,antithrombotics_m365_to_0,NA,binary,%,13.6459292384585,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,anxiety_minf_to_0,NA,binary,count,4691,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,anxiety_minf_to_0,NA,binary,%,30.8496646060765,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,asthma_minf_to_0,NA,binary,count,2224,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,asthma_minf_to_0,NA,binary,%,14.6258056030514,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,beta_blocking_agents_m365_to_0,NA,binary,count,3154,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,beta_blocking_agents_m365_to_0,NA,binary,%,20.7418124424569,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,calicum_channel_blockers_m365_to_0,NA,binary,count,2443,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,calicum_channel_blockers_m365_to_0,NA,binary,%,16.0660265684598,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,chronic_kidney_disease_minf_to_0,NA,binary,count,1496,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,chronic_kidney_disease_minf_to_0,NA,binary,%,9.83822175457057,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,chronic_liver_disease_minf_to_0,NA,binary,count,1496,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,chronic_liver_disease_minf_to_0,NA,binary,%,9.83822175457057,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,copd_minf_to_0,NA,binary,count,1540,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,copd_minf_to_0,NA,binary,%,10.1275812179403,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,covid_minf_to_0,NA,binary,count,3826,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,covid_minf_to_0,NA,binary,%,25.1611206102854,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,dementia_minf_to_0,NA,binary,count,213,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,dementia_minf_to_0,NA,binary,%,1.40076285676707,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,depressive_disorder_minf_to_0,NA,binary,count,3853,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,depressive_disorder_minf_to_0,NA,binary,%,25.3386820991714,PHARMETRICS
